filename,idea,dataset_name,dataset_description
1-s2.0-S0020025519304268-main.pdf,"论文提出了一种基于利润意识的集成选择（Profit-Conscious Ensemble Selection, PCES）框架，用于营销决策支持。该方法结合统计学习原则与商业目标，通过集成选择机制最大化营销活动的利润。PCES 在模型开发早期阶段引入商业目标，优化模型组合以提升实际业务价值，相比传统方法（如逻辑回归、随机森林和遗传算法优化）在多个真实数据集上显著提高了营销活动的盈利能力。",ACM KDD Cup,ACM KDD Cup 是数据挖掘领域的重要竞赛平台，其发布的历史数据集（如 KDD98 和 KDD09）是学术界广泛认可的标准数据集。KDD98 被用于响应建模任务，而 KDD09 则用于客户流失预测。这些数据集包含大量客户特征和行为数据，适用于大规模预测建模。
1-s2.0-S0020025519304268-main.pdf,"论文提出了一种基于利润意识的集成选择（Profit-Conscious Ensemble Selection, PCES）框架，用于营销决策支持。该方法结合统计学习原则与商业目标，通过集成选择机制最大化营销活动的利润。PCES 在模型开发早期阶段引入商业目标，优化模型组合以提升实际业务价值，相比传统方法（如逻辑回归、随机森林和遗传算法优化）在多个真实数据集上显著提高了营销活动的盈利能力。",Consultancy Project (CP),虽然该数据集来源于咨询项目，但它是标准化的行业数据集，广泛用于营销建模研究。论文中使用了多个 CP 数据集（如 CP、CP-2017），这些数据集涵盖金融、电子商务、直销等多个行业，用于客户流失预测、响应建模等任务，具有较高的现实业务价值。
1-s2.0-S0020025519304451-main.pdf,论文提出了一种结合无监督与有监督学习的混合方法，用于信用卡欺诈检测。该方法通过在不同粒度级别（全局、本地、聚类）计算异常得分，并将这些异常得分作为特征增强原始特征空间，从而提升欺诈检测的准确性。创新点在于将“最佳结合”（best-of-both-worlds）原则应用于信用卡欺诈检测场景，并设计和评估了多种适应问题特性的异常得分。实验表明，在聚类粒度下结合GM-2等异常得分可显著提升AUC-PR等评估指标，证明了该方法在处理高不平衡欺诈检测问题上的有效性。,IEEE International Conference on Data Mining (ICDM) 2016,这是一个用于信用评分和欺诈检测研究的公开数据集，包含超过7600万笔真实信用卡交易记录。数据集涵盖了从2016年2月2日至2016年12月31日共计334天的交易数据。其中欺诈交易的比例为0.36%，属于高度类别不平衡的数据集。该数据集由工业合作伙伴Worldline提供，Worldline是一家全球领先的支付和交易服务公司。数据集的训练集为前8个月的数据（截至2016年9月30日），测试集为接下来的54天（2016年10月8日至12月31日）。
1-s2.0-S0020025520301808-main.pdf,该论文提出了一种基于边缘-云计算架构的隐私保护型自动情感识别系统。系统利用物联网设备采集用户的面部图像和语音信号，并通过秘密共享方案分发到不同的边缘云进行简单预处理，随后传输至核心云，采用预训练的卷积神经网络提取特征，再通过级联深度稀疏自编码器融合多模态特征，并最终由支持向量机进行情感分类。创新点包括：采用多秘密共享方案增强隐私保护、引入边缘计算降低传输负担、使用深度稀疏自编码器提升多模态特征融合效果。,RML数据库,RML数据库是一个公开可用的多模态情感识别数据集，包含音频和视频模态的用户情感数据，广泛用于评估情感识别系统的性能。
1-s2.0-S0020025520301808-main.pdf,该论文提出了一种基于边缘-云计算架构的隐私保护型自动情感识别系统。系统利用物联网设备采集用户的面部图像和语音信号，并通过秘密共享方案分发到不同的边缘云进行简单预处理，随后传输至核心云，采用预训练的卷积神经网络提取特征，再通过级联深度稀疏自编码器融合多模态特征，并最终由支持向量机进行情感分类。创新点包括：采用多秘密共享方案增强隐私保护、引入边缘计算降低传输负担、使用深度稀疏自编码器提升多模态特征融合效果。,eNTERFACE 05数据库,eNTERFACE 05数据库是一个包含面部图像和语音信号的多模态情感识别数据集，常用于训练和测试基于边缘与云计算的自动情感识别系统，具有较高的识别精度评估价值。
1-s2.0-S0020025520304758-main.pdf,本文提出了一种基于注意力机制的一致性语义学习方法（ACSL），用于微视频场景识别。该方法采用双分支框架结合注意力机制，通过提取时空特征并增强类内语义一致性，有效解决了微视频中因拍摄主观性导致的内容不一致问题。实验表明，ACSL 在多个数据集上优于传统动态场景识别方法，尤其在真实微视频场景中表现出更强的适应性和识别能力。,MicrovideoSceneData 10,这是一个专门为微视频场景识别任务构建的新数据集，通过对原始 Vine 平台公开数据重新组织而成。该数据集包含 10 个场景类别，每个类别的样本数量在 100 到 2000 之间，具有类别不平衡和内容不一致性的特点，更贴近真实微视频的分布特征。每个视频时长约 6 秒，摄像机处于运动状态，适用于评估微视频中场景识别方法的性能。
1-s2.0-S0020025520304758-main.pdf,本文提出了一种基于注意力机制的一致性语义学习方法（ACSL），用于微视频场景识别。该方法采用双分支框架结合注意力机制，通过提取时空特征并增强类内语义一致性，有效解决了微视频中因拍摄主观性导致的内容不一致问题。实验表明，ACSL 在多个数据集上优于传统动态场景识别方法，尤其在真实微视频场景中表现出更强的适应性和识别能力。,Maryland Dataset,这是一个常用于动态场景分类的标准数据集，包含 13 个动态场景类别，每个类别包含 10 个样本。视频来源于互联网（如 YouTube），具有光照变化大、图像尺度多样、摄像机运动等特点，广泛用于评估动态场景识别算法的泛化能力。
1-s2.0-S0020025520304758-main.pdf,本文提出了一种基于注意力机制的一致性语义学习方法（ACSL），用于微视频场景识别。该方法采用双分支框架结合注意力机制，通过提取时空特征并增强类内语义一致性，有效解决了微视频中因拍摄主观性导致的内容不一致问题。实验表明，ACSL 在多个数据集上优于传统动态场景识别方法，尤其在真实微视频场景中表现出更强的适应性和识别能力。,Yupenn Dataset,这是一个用于动态场景分类的公开数据集，包含 14 个场景类别，每个类别包含 30 个样本。视频由固定摄像机拍摄，时长约为 5 秒，适用于评估动态场景识别方法在固定视角下的性能。
1-s2.0-S0020025520305077-main.pdf,论文提出了一种基于离散余弦变换（DCT）的黑盒目标攻击方法，通过将图像从空间域转换到频率域，在保持对抗样本视觉不可察觉的前提下，有效减少查询次数，提高攻击效率。该方法能够在不依赖模型参数的情况下，针对YOLO v3和AWS Rekognition等黑盒目标检测系统实现对指定物体的精确欺骗，具有较高的攻击成功率和实用性。,COCO 2014,COCO（Common Objects in Context）2014是一个广泛使用的图像识别、目标检测和图像分割的标准数据集，包含超过8万张训练图像和4万张测试图像，涵盖80个常见物体类别。该数据集以复杂的日常场景为主，标注信息包括物体边界框、关键点和图像标题等，常用于评估计算机视觉模型在真实场景下的性能。
1-s2.0-S0020025520305363-main.pdf,"本文提出了一种基于“求偶学习”（Courtship Learning, CL）的改进火fly算法（FA），通过将种群分为雌性和雄性子种群，并引入雌性个体引导雄性个体移动的机制，增强算法的探索能力和种群多样性。具体来说，当雄性火fly被当前个体吸引但其亮度不足时，算法从雌性档案中选择一个优秀雌性个体来引导雄性个体移动，从而避免陷入局部最优。此外，提出了一种自适应吸引力参数v，使其随着个体间距离增加而增大，从而更好地平衡探索与开发。实验表明，CL框架显著提升了FA及其变体在CEC 2013基准函数上的优化性能。",CEC 2013 benchmark set,CEC 2013 benchmark set 是一个广泛用于评估全局优化算法性能的标准测试函数集，包含28个基准函数，分为5个单峰函数、15个基本多模态函数和8个复合函数。这些函数具有不同的复杂度和挑战性，适用于测试进化算法和群体智能算法的探索和开发能力。该数据集在优化领域被广泛采用，具有标准化和权威性。
1-s2.0-S0020025520305478-main.pdf,本文提出了一种基于梯度熵的梯度压缩机制EGC（Entropy-based Gradient Compression），通过计算每一层梯度的熵来动态确定梯度稀疏化阈值，从而在不牺牲模型准确率的前提下实现高梯度压缩比。该方法具有通用性和灵活性，适用于多种分布式训练场景（如去中心化训练、参数服务器架构和联邦学习），并通过引入学习率校正、动量校正和残差累积等机制进一步提升模型性能。实验表明，EGC在多个深度学习任务中可实现高达1000倍的梯度压缩比，同时保持甚至提升模型准确率。,MNIST,"MNIST是一个广泛使用的手写数字识别数据集，包含70,000张28×28灰度图像，分为10个类别（0-9的数字）。该数据集常用于图像分类和机器学习算法的基准测试。"
1-s2.0-S0020025520305478-main.pdf,本文提出了一种基于梯度熵的梯度压缩机制EGC（Entropy-based Gradient Compression），通过计算每一层梯度的熵来动态确定梯度稀疏化阈值，从而在不牺牲模型准确率的前提下实现高梯度压缩比。该方法具有通用性和灵活性，适用于多种分布式训练场景（如去中心化训练、参数服务器架构和联邦学习），并通过引入学习率校正、动量校正和残差累积等机制进一步提升模型性能。实验表明，EGC在多个深度学习任务中可实现高达1000倍的梯度压缩比，同时保持甚至提升模型准确率。,CIFAR-10,"CIFAR-10是一个用于图像分类任务的标准化数据集，包含60,000张32×32彩色图像，分为10个类别，如飞机、汽车、鸟等。该数据集广泛用于评估深度学习模型在小规模图像识别任务中的性能。"
1-s2.0-S0020025520305478-main.pdf,本文提出了一种基于梯度熵的梯度压缩机制EGC（Entropy-based Gradient Compression），通过计算每一层梯度的熵来动态确定梯度稀疏化阈值，从而在不牺牲模型准确率的前提下实现高梯度压缩比。该方法具有通用性和灵活性，适用于多种分布式训练场景（如去中心化训练、参数服务器架构和联邦学习），并通过引入学习率校正、动量校正和残差累积等机制进一步提升模型性能。实验表明，EGC在多个深度学习任务中可实现高达1000倍的梯度压缩比，同时保持甚至提升模型准确率。,Tiny ImageNet,Tiny ImageNet是ImageNet数据集的一个子集，包含200个类别，每个类别有500张训练图像、50张验证图像和50张测试图像。图像尺寸为64×64，常用于图像分类任务，尤其是在模型压缩和分布式训练研究中。
1-s2.0-S0020025520305478-main.pdf,本文提出了一种基于梯度熵的梯度压缩机制EGC（Entropy-based Gradient Compression），通过计算每一层梯度的熵来动态确定梯度稀疏化阈值，从而在不牺牲模型准确率的前提下实现高梯度压缩比。该方法具有通用性和灵活性，适用于多种分布式训练场景（如去中心化训练、参数服务器架构和联邦学习），并通过引入学习率校正、动量校正和残差累积等机制进一步提升模型性能。实验表明，EGC在多个深度学习任务中可实现高达1000倍的梯度压缩比，同时保持甚至提升模型准确率。,Penn Treebank (PTB),"Penn Treebank 是一个广泛使用的英语语料库，常用于语言建模任务。该数据集包含约923,000个训练词、73,000个验证词和82,000个测试词。通常用于评估循环神经网络（如LSTM）在语言建模中的性能。"
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,Emotions,一个音乐领域的多标签分类数据集，包含593个实例，72个特征，6个标签，平均每个实例有1.868个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,Flags,一个图像领域的多标签分类数据集，包含194个实例，19个特征，7个标签，平均每个实例有3.392个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,Scene,一个图像领域的多标签分类数据集，包含2407个实例，294个特征，6个标签，平均每个实例有1.074个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,Yeast,一个生物领域的多标签分类数据集，包含2417个实例，103个特征，14个标签，平均每个实例有4.237个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,Birds,一个音频领域的多标签分类数据集，包含645个实例，260个特征，19个标签，平均每个实例有1.014个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,GpositiveGO,一个生物领域的多标签分类数据集，包含519个实例，912个特征，4个标签，平均每个实例有1.008个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,CHD-49,一个医学领域的多标签分类数据集，包含555个实例，49个特征，6个标签，平均每个实例有2.580个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,Enron,一个文本领域的多标签分类数据集，包含1702个实例，1001个特征，53个标签，平均每个实例有3.378个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,Langlog,一个文本领域的多标签分类数据集，包含1460个实例，1004个特征，75个标签，平均每个实例有1.180个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,Medical,一个文本领域的多标签分类数据集，包含978个实例，1449个特征，45个标签，平均每个实例有1.245个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,[SECURITY_TERM],一个生物领域的多标签分类数据集，包含207个实例，749个特征，6个标签，平均每个实例有1.217个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,Water-qy,一个化学领域的多标签分类数据集，包含1060个实例，16个特征，14个标签，平均每个实例有5.073个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,3s-bbc1000,一个文本领域的多标签分类数据集，包含352个实例，1000个特征，6个标签，平均每个实例有1.125个标签
1-s2.0-S0020025520306058-main.pdf,本文提出了一种新的多标签分类方法MLWSE，通过加权堆叠集成和标签相关性建模，同时优化分类器权重和标签相关性。该方法利用稀疏正则化进行分类器选择，并结合标签相关性提高分类性能，适用于医学辅助诊断等实际应用场景。,Cardiovascular and Cerebrovascular Disease (CCD),一个真实世界的医学多标签分类数据集，包含3823个实例，59个特征，9个标签，分别表示不同的疾病类别
1-s2.0-S0020025520306356-main.pdf,本文研究了基于反馈的序列动态事件推荐问题（SDERF），提出了两种在线学习模型——无上下文信息模型和有上下文信息模型。前者假设所有用户具有相似的内在兴趣，后者考虑不同用户的容忍度差异，并引入基于上置信界（UCB）的探索与利用算法，分别实现了对用户反馈的动态推荐策略优化。通过在真实数据集（Meetup 和 Damai）和合成数据集上的实验，验证了所提算法在降低平台用户流失率和累积遗憾方面的有效性。,Meetup,Meetup是一个事件社交平台的真实数据集，包含用户参与线下活动的记录。数据集包括多个城市（如温哥华、新加坡、奥克兰、北京）的用户信息、事件信息、用户标签、地理位置、用户参与或拒绝事件的反馈信息等。该数据集用于验证事件推荐算法在现实场景下的性能，尤其在用户兴趣、事件时间、距离等因素对推荐效果的影响。
1-s2.0-S0020025520306356-main.pdf,本文研究了基于反馈的序列动态事件推荐问题（SDERF），提出了两种在线学习模型——无上下文信息模型和有上下文信息模型。前者假设所有用户具有相似的内在兴趣，后者考虑不同用户的容忍度差异，并引入基于上置信界（UCB）的探索与利用算法，分别实现了对用户反馈的动态推荐策略优化。通过在真实数据集（Meetup 和 Damai）和合成数据集上的实验，验证了所提算法在降低平台用户流失率和累积遗憾方面的有效性。,Damai,大麦网（Damai）是中国的一个大型票务平台，提供演唱会、戏剧、体育赛事等文化娱乐活动的票务服务。该数据集包含50个热门事件和190个用户的真实反馈信息，每个事件包含用户的人口统计特征（如性别、年龄组、位置）和事件特征。该数据集用于评估事件推荐算法在实际商业场景中的表现。
1-s2.0-S0020025520306459-main.pdf,论文提出了一种高效的共现模式挖掘算法CMDS（Co-location Mining with Directed Road-Network Constraints and Spatial Continuity），用于在城市空间中挖掘受有向路网约束和空间连续性影响的最大共现模式。该算法设计了一个结合距离衰减效应和道路方向干扰的网络普遍性指标，并通过关键节点分离方法和改进的最短路径批量任务优化挖掘效率。实验表明，CMDS在处理城市空间共现问题时比现有方法更高效且准确。,Beijing POIs and road networks (2014),该数据集包含中国北京市怀柔区和石景山区的路网数据及兴趣点（POIs）数据。POIs数据由北京市工商行政管理局注册的合法实体组成，每个POIs具有唯一的地理坐标（XY坐标）和类别信息（如银行、餐厅等）。路网数据反映了城市道路的拓扑结构，包括道路方向和连接关系。该数据集用于验证在城市空间中受路网约束的共现模式挖掘算法，具有实际城市规划和资源分配的应用价值。
1-s2.0-S0020025520306460-main.pdf,"论文提出了一种基于差分进化算法（Differential Evolution, DE）的人脸识别框架FR-DE，通过优化预处理和特征提取技术组合，提高人脸识别系统在光照变化、姿态变化和单样本每人（OSPP）等挑战下的性能。该框架能够自动选择最优技术组合并调整参数，实验证明其在多个标准数据集上具有竞争力，特别是在光照补偿方面表现出色。",Yale Extended B,这是一个广泛用于人脸识别研究的公共数据集，因其包含多种光照条件而被高度使用。该数据集包含38个受试者在不同光照和姿态条件下的图像，每个受试者有9种姿态和64种光照条件的组合，图像尺寸为168x192。该数据集特别适用于研究光照变化对人脸识别系统的影响。
1-s2.0-S0020025520306460-main.pdf,"论文提出了一种基于差分进化算法（Differential Evolution, DE）的人脸识别框架FR-DE，通过优化预处理和特征提取技术组合，提高人脸识别系统在光照变化、姿态变化和单样本每人（OSPP）等挑战下的性能。该框架能够自动选择最优技术组合并调整参数，实验证明其在多个标准数据集上具有竞争力，特别是在光照补偿方面表现出色。",CMU-PIE,"CMU-PIE数据集包含68个受试者的41,368张图像，涵盖了13种姿态、43种光照条件和4种表情变化。该数据集常用于评估人脸识别算法在光照和姿态变化下的鲁棒性。研究中选取了五个子集（C05、C07、C09、C27、C29），每个子集代表不同的摄像机角度，用于分析单样本每人（OSPP）问题。"
1-s2.0-S0020025520306460-main.pdf,"论文提出了一种基于差分进化算法（Differential Evolution, DE）的人脸识别框架FR-DE，通过优化预处理和特征提取技术组合，提高人脸识别系统在光照变化、姿态变化和单样本每人（OSPP）等挑战下的性能。该框架能够自动选择最优技术组合并调整参数，实验证明其在多个标准数据集上具有竞争力，特别是在光照补偿方面表现出色。",FERET,FERET数据集是一个广泛使用的人脸识别基准数据集，包含1800张来自200个人的图像，图像尺寸为256x384，面部姿态角度从+60度到-60度不等。研究中使用了b系列子集，用于评估算法在姿态变化下的性能，特别是在单样本每人（OSPP）条件下的表现。
